{'g1': 0, 'g2': 17, 'g3': 0, 'g4': 997, 'g5': 403, 'g6': 997}
{'g1': 0, 'g2': 35, 'g3': 485, 'g4': 995, 'g5': 678, 'g6': 995}
{'g1': 2, 'g2': 73, 'g3': 151, 'g4': 537, 'g5': 529, 'g6': 481}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 808, 'g5': 8, 'g6': 858}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 996, 'g5': 276, 'g6': 953}
{'g1': 0, 'g2': 320, 'g3': 552, 'g4': 598, 'g5': 804, 'g6': 469}
{'g1': 114, 'g2': 104, 'g3': 0, 'g4': 961, 'g5': 944, 'g6': 973}
{'g1': 78, 'g2': 892, 'g3': 0, 'g4': 723, 'g5': 652, 'g6': 995}
{'g1': 142, 'g2': 359, 'g3': 380, 'g4': 521, 'g5': 854, 'g6': 813}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 664, 'g5': 682, 'g6': 998}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 778, 'g5': 999, 'g6': 997}
{'g1': 23, 'g2': 859, 'g3': 0, 'g4': 320, 'g5': 539, 'g6': 966}
{'g1': 0, 'g2': 493, 'g3': 0, 'g4': 567, 'g5': 474, 'g6': 770}
			  	{'g1': 12, 'g2': 1000, 'g3': 304, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 1000, 'g3': 1000, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 7, 'g2': 944, 'g3': 325, 'g4': 802, 'g5': 982, 'g6': 988}
{'g1': 0, 'g2': 999, 'g3': 999, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 23, 'g2': 705, 'g3': 706, 'g4': 932, 'g5': 846, 'g6': 879}
{'g1': 1, 'g2': 657, 'g3': 321, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 0, 'g2': 997, 'g3': 997, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 673, 'g3': 673, 'g4': 758, 'g5': 926, 'g6': 831}
{'g1': 22, 'g2': 603, 'g3': 360, 'g4': 960, 'g5': 762, 'g6': 998}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 999, 'g3': 999, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 10, 'g2': 801, 'g3': 257, 'g4': 659, 'g5': 959, 'g6': 970}
{'g1': 0, 'g2': 998, 'g3': 234, 'g4': 638, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 998, 'g3': 994, 'g4': 998, 'g5': 998, 'g6': 994}
{'g1': 0, 'g2': 1000, 'g3': 665, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 997, 'g3': 997, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 14, 'g2': 391, 'g3': 378, 'g4': 561, 'g5': 756, 'g6': 884}
{'g1': 0, 'g2': 758, 'g3': 21, 'g4': 694, 'g5': 996, 'g6': 996}
{'g1': 0, 'g2': 998, 'g3': 425, 'g4': 998, 'g5': 998, 'g6': 998}
